cell_type,marker
B_cells,TNFRSF17
B_cells,MS4A1
B_cells,JCHAIN
B_cells,XBP1
B_cells,CD79A
B_cells,BACH2
B_cells,MZB1
B_cells,CD40
B_cells,CD86
B_cells,CD10
B_cells,CD70
B_cells,HLA-DR
B_cells,CD80
B_cells,MS4A1
B_cells,CD79A
B_cells,CD38
B_cells,CD20
B_cells,CD19
B_cells,MS4A1
B_cells,MS4A1
B_cells,CD79A
B_cells,CD20
B_cells,MS4A1
B_cells,CD127
B_cells,CD95
B_cells,CD25
B_cells,CD38
B_cells,CD27
B_cells,CD21
B_cells,CD1c
B_cells,IgD
B_cells,IgM
B_cells,CD19
B_cells,CCR7
B_cells,CD79A
B_cells,MS4A1
B_cells,CD79B
B_cells,CR2
B_cells,CD81
B_cells,CD79A
B_cells,CD22
B_cells,CD40
B_cells,CD72
B_cells,CD19
B_cells,FCGR2A
B_cells,CD19
B_cells,CD79A
B_cells,CD20
B_cells,IGHG1
B_cells,CD79A
B_cells,MS4A1
B_cells,IGHM
B_cells,PAX5
B_cells,SPIB
B_cells,ITGB1
B_cells,FCRLA
B_cells,IGHA1
B_cells,IGHD
B_cells,FCER2
B_cells,TCL1A
B_cells,BCL11A
B_cells,PLPP5
B_cells,CD79B
B_cells,FCRL1
B_cells,TNFRSF13C
B_cells,YBX3
B_cells,AHNAK
B_cells,HLA-DPB1
B_cells,NFKBIA
B_cells,SWAP70
B_cells,CD19
B_cells,JCHAIN
B_cells,AIM2
B_cells,IL4R
B_cells,CD79A
B_cells,IGKC
B_cells,IGHG3
B_cells,JCHAIN
B_cells,CD79B
B_cells,CD19
B_cells,CD3
B_cells,IGKC
B_cells,IGHM
B_cells,CD79A
B_cells,MS4A1
B_cells,CD19
B_cells,CD79B
B_cells,CD19
B_cells,CD19
B_cells,MS4A1
B_cells,CD19
B_cells,CD19
B_cells,CD79A
B_cells,CD79A
B_cells,MS4A1
B_cells,CD79B
B_cells,CD79A
B_cells,CD79A
B_cells,MKI67
B_cells,CDC20
B_cells,CDK1
B_cells,CD19
B_cells,CD79A
B_cells,MS4A1
B_cells,CD19
B_cells,MS4A1
B_cells,MS4A1
B_cells,CD19
B_cells,CD19
B_cells,Cd79a
B_cells,Cd79b
B_cells,Lybd
B_cells,FCER2
B_cells,CD22
B_cells,CD79B
B_cells,CD79A
B_cells,CD19
B_cells,CD19
B_cells,CD19
B_cells,CD20
B_cells,MB2
B_cells,CD10
B_cells,CD34
B_cells,CD20
B_cells,HLA-DR
B_cells,CD19
B_cells,CD20
B_cells,PAX5
B_cells,CD24
B_cells,CD79a
B_cells,LMO2
B_cells,HGAL
B_cells,BCL2
B_cells,BCL6
B_cells,CD10
B_cells,CD19
B_cells,CD20
B_cells,CD79B
B_cells,CD52
B_cells,CD20
B_cells,CD45
B_cells,CD19
B_cells,CD38
B_cells,CD43
B_cells,CD23
B_cells,CD1d
B_cells,IgM
B_cells,CD21
B_cells,CD24
B_cells,CD5
B_cells,CD27
B_cells,CD40
B_cells,CD27
B_cells,CD24
B_cells,CD20
B_cells,CD19
B_cells,CD38
B_cells,HLA-DRA
B_cells,CD38
B_cells,CD24
B_cells,IGKC
B_cells,BLK
B_cells,IGL
B_cells,MME
B_cells,IGKC
B_cells,BLK
B_cells,IGL
B_cells,CD79A
B_cells,TERF2
B_cells,IGHA1
B_cells,IGHG1
B_cells,TCL18
B_cells,TCL1A
B_cells,BLNK
B_cells,CD79A
B_cells,IGHG1
B_cells,AL713998.1
B_cells,CD19
B_cells,ARPP21
B_cells,RPS4Y2
B_cells,CD19
B_cells,IGHA1
B_cells,PAX5
B_cells,PAX5
B_cells,CD72
B_cells,CD24
B_cells,CD72
B_cells,VPREB3
B_cells,BLNK
B_cells,CD19
B_cells,CD19
B_cells,FCRL1
B_cells,CD79B
B_cells,CD22
B_cells,MS4A1
B_cells,PAX5
B_cells,BLNK
B_cells,CD79A
B_cells,BANK1
B_cells,CD19
B_cells,CD45
B_cells,MS4A1
B_cells,MS4A1
B_cells,CD19
B_cells,CD79A
B_cells,CD19
B_cells,CD22
B_cells,CD79A
B_cells,IL7R
B_cells,CD19
B_cells,RAG1
B_cells,TNFRSF13C
B_cells,CD20
B_cells,EIF4EBP1
B_cells,RAG2
B_cells,MS4A1
B_cells,CD79A
B_cells,CD19
B_cells,CD20
B_cells,CD19
B_cells,CD20
B_cells,CD19
B_cells,CD19
B_cells,CD20
B_cells,CD19
B_cells,CD20
B_cells,MS4A1
B_cells,CD79A
B_cells,CD19
B_cells,NUGGC
B_cells,FCRLA
B_cells,MZB1
B_cells,FCER2
B_cells,CD79B
B_cells,MS4A1
B_cells,JCHAIN
B_cells,BLK
B_cells,IKZF3
B_cells,B220
B_cells,CD79A
B_cells,CD20
B_cells,CD69
B_cells,CD49d
B_cells,CD45RA
B_cells,CXCR3
B_cells,CD27
B_cells,CD19
B_cells,CD20
B_cells,HLA-DPB1
B_cells,IGHG3
B_cells,IGHG1
B_cells,HLA-DQA1
B_cells,CD79A
B_cells,CD19
B_cells,CD79A
B_cells,CD19
B_cells,MS4A1
B_cells,CD20
B_cells,CD19
B_cells,LAPTM5
B_cells,PTPRC
B_cells,MS4A1
B_cells,IGKC
B_cells,VIM
B_cells,CD79A
